315470393,4 (4) [18] {1},2 (4) [15] {3},3 (3) [4] {1},4 (3) [9] {3},1 (3) [7] {2},4 (4) [3] {1},1 (2) [19] {4},3 (3) [6] {1},3 (3) [11] {1},2 (4) [12] {4},3 (3) [5] {1},3 (3) [13] {1},2 (2) [8] {1},2 (3) [14] {4},2 (2) [17] {1},2 (1) [16] {3},4 (1) [10] {2},3 (3) [20] {1},2 (1) [2] {2},4 (4) [1] {1}
318656378,4 (3) [4] {3},3 (4) [9] {4},1 (4) [1] {3},2 (1) [17] {2},4 (1) [5] {3},2 (4) [14] {3},1 (4) [12] {2},2 (2) [2] {1},3 (1) [6] {3},1 (4) [10] {4},4 (3) [20] {3},4 (4) [18] {1},2 (4) [3] {4},3 (3) [8] {1},3 (1) [11] {2},1 (2) [19] {3},2 (2) [15] {1},4 (2) [16] {4},4 (4) [7] {1},2 (3) [13] {2}
211788146,1 (1) [8] {1},4 (4) [5] {1},1 (1) [7] {1},1 (1) [20] {1},3 (3) [9] {1},4 (4) [12] {1},4 (4) [4] {1},4 (4) [14] {1},1 (1) [3] {1},3 (3) [6] {1},4 (1) [2] {4},3 (2) [13] {3},3 (1) [11] {4},2 (2) [17] {1},2 (2) [10] {1},1 (3) [15] {2},4 (4) [1] {1},1 (1) [18] {1},3 (3) [19] {1},4 (4) [16] {1}
207084757,3 (2) [6] {3},2 (4) [16] {4},1 (1) [20] {1},1 (3) [3] {2},2 (1) [7] {4},4 (3) [11] {2},3 (3) [12] {1},4 (4) [8] {1},4 (3) [13] {2},1 (1) [17] {1},4 (4) [1] {1},4 (1) [4] {3},2 (4) [9] {2},3 (1) [2] {3},4 (4) [14] {1},2 (1) [19] {3},1 (1) [18] {1},1 (4) [15] {3},3 (3) [10] {1},3 (3) [5] {1}
209285634,3 (3) [19] {1},2 (2) [8] {1},3 (3) [14] {1},2 (2) [13] {1},1 (3) [1] {3},2 (2) [10] {1},4 (1) [6] {4},1 (1) [16] {1},1 (1) [17] {1},3 (3) [20] {1},2 (2) [7] {1},3 (3) [18] {1},1 (2) [15] {3},1 (1) [9] {1},1 (3) [12] {4},2 (2) [11] {1},1 (4) [2] {4},2 (4) [4] {4},4 (2) [5] {4},3 (3) [3] {1}
318393063,1 (1) [6] {1},1 (4) [10] {2},3 (3) [5] {1},4 (4) [4] {1},1 (1) [9] {1},4 (4) [16] {1},3 (3) [8] {1},1 (2) [14] {4},1 (2) [13] {2},3 (3) [20] {1},2 (3) [15] {2},1 (1) [7] {1},1 (1) [18] {1},2 (2) [11] {1},4 (4) [17] {1},4 (4) [3] {1},1 (1) [12] {1},1 (1) [19] {1},2 (2) [1] {1},2 (2) [2] {1}
323907923,1 (1) [7] {1},3 (3) [18] {1},4 (4) [12] {1},4 (4) [2] {1},2 (2) [19] {1},3 (3) [11] {1},4 (3) [15] {3},1 (1) [5] {1},4 (4) [13] {1},2 (2) [4] {1},4 (4) [3] {1},2 (2) [6] {1},1 (1) [20] {1},2 (2) [1] {1},4 (4) [14] {1},1 (1) [16] {1},4 (4) [9] {1},4 (4) [8] {1},3 (1) [10] {4},2 (2) [17] {1}
207388414,1 (1) [15] {1},4 (4) [6] {1},2 (4) [10] {2},3 (3) [5] {1},3 (4) [18] {2},1 (1) [19] {1},3 (1) [2] {2},2 (2) [1] {1},1 (3) [17] {2},3 (1) [11] {4},1 (1) [7] {1},1 (1) [12] {1},1 (1) [4] {1},2 (2) [8] {1},4 (4) [20] {1},4 (4) [3] {1},3 (3) [16] {1},1 (1) [9] {1},4 (4) [13] {1},1 (2) [14] {2}
206627986,1 (3) [10] {3},2 (2) [1] {1},3 (3) [3] {1},1 (1) [8] {1},1 (1) [17] {1},4 (4) [14] {1},2 (2) [12] {1},2 (2) [7] {1},4 (4) [9] {1},1 (1) [2] {1},2 (1) [19] {3},4 (4) [5] {1},4 (4) [20] {1},1 (1) [18] {1},4 (4) [16] {1},3 (3) [13] {1},2 (2) [4] {1},4 (4) [11] {1},4 (3) [15] {2},4 (3) [6] {4}
316339399,2 (2) [9] {1},2 (2) [5] {1},3 (3) [7] {1},4 (3) [13] {2},2 (2) [12] {1},1 (1) [14] {1},1 (1) [4] {1},2 (2) [20] {1},4 (4) [6] {1},3 (3) [8] {1},1 (1) [10] {1},4 (4) [16] {1},3 (3) [2] {1},3 (3) [11] {1},3 (3) [17] {1},3 (3) [1] {1},2 (2) [15] {1},3 (3) [3] {1},4 (4) [18] {1},3 (3) [19] {1}
207376328,2 (2) [19] {1},1 (1) [6] {1},2 (4) [14] {3},1 (4) [10] {2},3 (3) [15] {1},2 (2) [16] {1},1 (1) [5] {1},4 (4) [13] {1},1 (1) [12] {1},1 (1) [1] {1},2 (2) [11] {1},4 (4) [20] {1},2 (2) [4] {1},3 (3) [3] {1},4 (4) [8] {1},3 (3) [2] {1},4 (4) [9] {1},1 (1) [17] {1},3 (3) [18] {1},3 (3) [7] {1}
318724085,1 (1) [13] {1},1 (1) [20] {1},1 (1) [12] {1},2 (2) [1] {1},2 (2) [8] {1},1 (4) [11] {2},1 (2) [19] {3},1 (1) [6] {1},3 (2) [3] {2},3 (3) [10] {1},1 (4) [4] {3},3 (3) [17] {1},1 (2) [14] {4},1 (1) [5] {1},1 (1) [7] {1},4 (4) [18] {1},4 (4) [9] {1},1 (1) [16] {1},2 (2) [2] {1},3 (3) [15] {1}
318285947,2 (2) [20] {1},2 (1) [2] {3},3 (1) [10] {2},3 (3) [19] {1},4 (4) [3] {1},4 (2) [16] {4},2 (3) [5] {4},1 (1) [17] {1},3 (4) [18] {4},1 (1) [8] {1},4 (4) [9] {1},1 (4) [12] {3},2 (1) [14] {2},2 (3) [6] {2},1 (1) [7] {1},4 (2) [4] {3},4 (1) [11] {2},4 (4) [13] {1},3 (3) [1] {1},1 (2) [15] {2}
309599116,4 (3) [3] {2},2 (2) [19] {1},3 (3) [16] {1},3 (3) [7] {1},4 (2) [2] {4},4 (4) [18] {1},3 (3) [15] {1},1 (1) [8] {1},1 (1) [14] {1},2 (2) [17] {1},4 (3) [4] {3},3 (3) [20] {1},4 (2) [1] {2},3 (2) [10] {2},3 (3) [9] {1},3 (3) [12] {1},2 (2) [11] {1},4 (4) [13] {1},2 (2) [6] {1},1 (1) [5] {1}
